qC_l_hip_yaw	qC_l_hip_rol	qC_l_hip_pit	qC_l_kne	qC_l_ank	qC_r_hip_yaw	qC_r_hip_rol	qC_r_hip_pit	qC_r_kne	qC_r_ank	torso	qC_l_shd_pit	qC_l_shd_rol	qC_l_shd_yaw	qC_l_elb	qC_r_shd_pit	qC_r_shd_rol	qC_r_shd_yaw	qC_r_elb	qP_l_hip_yaw	qP_l_hip_rol	qP_l_hip_pit	qP_l_kne	qP_l_ank	qP_r_hip_yaw	qP_r_hip_rol	qP_r_hip_pit	qP_r_kne	qP_r_ank	torso	qP_l_shd_pit	qP_l_shd_rol	qP_l_shd_yaw	qP_l_elb	qP_r_shd_pit	qP_r_shd_rol	qP_r_shd_yaw	qP_r_elb	qV_l_hip_yaw	qV_l_hip_rol	qV_l_hip_pit	qV_l_kne	qV_l_ank	qV_r_hip_yaw	qV_r_hip_rol	qV_r_hip_pit	qV_r_kne	qV_r_ank	torso	qV_l_shd_pit	qV_l_shd_rol	qV_l_shd_yaw	qV_l_elb	qV_r_shd_pit	qV_r_shd_rol	qV_r_shd_yaw	qV_r_elb	rol	pit	yaw	rol_rate	pit_rate	yaw_rate	
0.096244	0.064993	-0.093215	0.505098	-0.111997	0.101042	0.141113	-0.097638	0.506728	-0.113873	0.099883	0.105562	0.097702	0.099826	0.107190	0.111043	0.103644	0.104143	0.107796	0.078506	-0.005846	-0.145314	0.453874	-0.142297	0.083866	0.103356	-0.165179	0.454849	-0.150608	0.075702	0.066940	0.055034	0.073112	0.088802	0.083384	0.066510	0.080940	0.089347	0.880432	0.770113	1.012581	0.946905	1.042367	1.037659	1.148445	0.653565	1.014819	1.098711	1.175236	1.580319	1.503852	1.267296	1.399064	1.541415	1.451533	1.081271	1.519205	-0.035349	0.065796	0.141136	-0.416396	-0.404199	0.052257	
0.105060	0.073809	-0.084399	0.513914	-0.103181	0.109858	0.149929	-0.088822	0.515544	-0.105057	0.108699	0.114378	0.106518	0.108642	0.116006	0.119859	0.112460	0.112959	0.116612	0.083645	0.003997	-0.133119	0.464931	-0.133252	0.090795	0.117034	-0.154263	0.466769	-0.141605	0.086951	0.081100	0.069455	0.082437	0.098006	0.096946	0.080072	0.089721	0.098854	0.650184	0.881283	1.134976	1.064369	0.894799	0.851668	1.300157	0.847583	1.135030	0.963217	1.150179	1.604467	1.652762	1.298301	1.333180	1.497145	1.487754	1.061893	1.395189	-0.038875	0.061099	0.142184	-0.428589	-0.428935	0.069224	
0.113767	0.082516	-0.075692	0.522621	-0.094474	0.118565	0.158636	-0.080115	0.524251	-0.096350	0.117406	0.123085	0.115225	0.117349	0.124713	0.128566	0.121167	0.121666	0.125319	0.088528	0.012664	-0.117217	0.476996	-0.124637	0.097110	0.130661	-0.144036	0.479249	-0.132833	0.096717	0.095102	0.083971	0.092217	0.107029	0.109334	0.093467	0.098622	0.108785	0.480513	0.917342	1.296714	1.169981	0.823698	0.687813	1.371593	0.980494	1.229914	0.949801	1.089702	1.600442	1.553489	1.170408	1.433944	1.338844	1.530683	1.096773	1.402940	-0.042571	0.056037	0.143376	-0.424674	-0.465278	0.077010	
0.122356	0.091106	-0.067103	0.531210	-0.085884	0.127155	0.167225	-0.071525	0.532840	-0.087760	0.125995	0.131675	0.123814	0.125939	0.133303	0.137156	0.129757	0.130255	0.133908	0.092644	0.021919	-0.106275	0.489539	-0.116420	0.103374	0.145234	-0.135164	0.491600	-0.124774	0.106561	0.108150	0.097764	0.101058	0.114538	0.119805	0.106578	0.107252	0.116808	0.465978	0.934894	1.363430	1.237341	0.829064	0.628232	1.425220	1.068712	1.250173	0.831747	1.017977	1.385798	1.519951	0.767354	0.972756	1.187252	1.436776	0.620084	1.015387	-0.045747	0.051312	0.144648	-0.417511	-0.473009	0.105304	
0.130820	0.099569	-0.058639	0.539674	-0.077421	0.135618	0.175688	-0.063062	0.541303	-0.079297	0.134459	0.140138	0.132277	0.134402	0.141766	0.145619	0.138220	0.138719	0.142371	0.099828	0.032120	-0.090117	0.502530	-0.106642	0.109663	0.158528	-0.120336	0.503217	-0.117217	0.116685	0.120151	0.110299	0.110807	0.122470	0.132979	0.120392	0.115820	0.125014	0.545922	0.985550	1.385094	1.282666	0.854553	0.625798	1.418012	1.204559	1.222140	0.803575	1.007950	1.254328	1.388481	0.906873	1.127777	1.878138	1.169812	0.658839	1.321554	-0.049454	0.045682	0.145851	-0.374523	-0.444264	0.000374	
0.139149	0.107898	-0.050310	0.548002	-0.069092	0.143947	0.184017	-0.054733	0.549632	-0.070968	0.142788	0.148467	0.140606	0.142731	0.150095	0.153948	0.146549	0.147048	0.150700	0.107984	0.041222	-0.076669	0.515297	-0.098184	0.117000	0.170519	-0.106760	0.514131	-0.109828	0.125301	0.131627	0.123515	0.120405	0.131281	0.148396	0.132057	0.124873	0.136186	0.695930	0.961799	1.392679	1.300626	0.960534	0.671436	1.289590	1.315172	1.159061	0.784793	0.954623	1.468973	1.358967	1.108400	1.143280	1.648737	1.686300	1.108400	1.480450	-0.052503	0.040775	0.146153	-0.352290	-0.418957	0.028716	
0.147335	0.116085	-0.042124	0.556189	-0.060906	0.152133	0.192204	-0.046547	0.557819	-0.062782	0.150974	0.156653	0.148793	0.150918	0.158281	0.162135	0.154735	0.155234	0.158887	0.117060	0.049761	-0.063477	0.528080	-0.089034	0.125463	0.183967	-0.093849	0.524261	-0.101464	0.136754	0.146918	0.135400	0.129065	0.142575	0.159013	0.145084	0.134138	0.143604	0.860692	0.931355	1.351548	1.297045	0.977974	0.794634	1.255596	1.352315	1.080079	0.976632	1.002033	1.753376	1.310672	1.154906	1.635471	0.972607	1.407262	0.902997	1.007636	-0.055190	0.036196	0.147043	-0.270128	-0.377842	0.041925	
0.155371	0.124120	-0.034088	0.564224	-0.052870	0.160169	0.200239	-0.038511	0.565854	-0.054746	0.159010	0.164689	0.156828	0.158953	0.166317	0.170170	0.162771	0.163270	0.166922	0.127465	0.058632	-0.052790	0.540001	-0.080073	0.134079	0.197542	-0.080504	0.535479	-0.092346	0.147620	0.161423	0.145493	0.138965	0.151688	0.168047	0.156068	0.145280	0.150568	0.972152	0.892676	1.252628	1.259518	0.964558	0.882467	1.364710	1.326092	0.994514	0.947118	1.112281	1.397871	1.008829	0.968881	0.976632	1.012853	1.130908	1.127777	1.154906	-0.057219	0.032342	0.147795	-0.211675	-0.291855	0.029801	
0.163248	0.131997	-0.026211	0.572101	-0.044993	0.168046	0.208116	-0.030634	0.573731	-0.046869	0.166887	0.172566	0.164705	0.166830	0.174194	0.178047	0.170648	0.171147	0.174799	0.136899	0.067453	-0.042947	0.553135	-0.071175	0.144689	0.207897	-0.067439	0.544043	-0.083165	0.158946	0.173371	0.154087	0.151440	0.159076	0.176903	0.165532	0.156876	0.159591	1.013026	0.867260	1.080491	1.162714	0.900165	0.945497	1.270166	1.336631	0.904010	1.089320	1.141610	1.349577	0.975290	1.162657	1.151031	1.034318	1.163104	1.251794	1.216914	-0.058780	0.029112	0.148734	-0.118715	-0.213022	0.066203	
0.170958	0.139708	-0.018501	0.579812	-0.037283	0.175756	0.215827	-0.022924	0.581442	-0.039159	0.174597	0.180276	0.172416	0.174541	0.181904	0.185758	0.178358	0.178857	0.182510	0.147484	0.075455	-0.034126	0.562930	-0.062780	0.154225	0.219887	-0.056088	0.552113	-0.072926	0.169096	0.183695	0.161727	0.158646	0.166554	0.183150	0.174000	0.164173	0.167251	1.023989	0.856781	0.973142	1.062293	0.815649	0.929489	1.150941	1.273025	0.853314	0.867968	1.080028	0.917605	0.711010	0.891370	1.058018	0.546002	0.803575	1.023138	0.999885	-0.059645	0.026758	0.149990	-0.084799	-0.167549	0.120097	
