qC_l_hip_yaw	qC_l_hip_rol	qC_l_hip_pit	qC_l_kne	qC_l_ank	qC_r_hip_yaw	qC_r_hip_rol	qC_r_hip_pit	qC_r_kne	qC_r_ank	torso	qC_l_shd_pit	qC_l_shd_rol	qC_l_shd_yaw	qC_l_elb	qC_r_shd_pit	qC_r_shd_rol	qC_r_shd_yaw	qC_r_elb	qP_l_hip_yaw	qP_l_hip_rol	qP_l_hip_pit	qP_l_kne	qP_l_ank	qP_r_hip_yaw	qP_r_hip_rol	qP_r_hip_pit	qP_r_kne	qP_r_ank	torso	qP_l_shd_pit	qP_l_shd_rol	qP_l_shd_yaw	qP_l_elb	qP_r_shd_pit	qP_r_shd_rol	qP_r_shd_yaw	qP_r_elb	qV_l_hip_yaw	qV_l_hip_rol	qV_l_hip_pit	qV_l_kne	qV_l_ank	qV_r_hip_yaw	qV_r_hip_rol	qV_r_hip_pit	qV_r_kne	qV_r_ank	torso	qV_l_shd_pit	qV_l_shd_rol	qV_l_shd_yaw	qV_l_elb	qV_r_shd_pit	qV_r_shd_rol	qV_r_shd_yaw	qV_r_elb	rol	pit	yaw	rol_rate	pit_rate	yaw_rate	
0.170959	0.139708	-0.018501	0.579812	-0.037282	0.175757	0.215827	-0.022923	0.581442	-0.039158	0.174597	0.180277	0.172416	0.174541	0.181905	0.185758	0.178359	0.178857	0.182510	0.186703	0.143819	-0.010426	0.591006	-0.011561	0.198429	0.254683	-0.012088	0.595256	-0.006813	0.194995	0.205023	0.183171	0.195130	0.205643	0.211427	0.192960	0.199053	0.207066	-0.731312	-0.779236	-0.792462	-0.870862	-0.744548	-0.618121	-0.880263	-0.901545	-0.826707	-0.829064	-0.782254	-0.941752	-0.752597	-0.720847	-0.914624	-0.779427	-0.949801	-0.682092	-0.992134	-0.029286	0.036084	0.148310	0.002692	0.136339	-0.151605	
0.163248	0.131997	-0.026211	0.572102	-0.044993	0.168046	0.208117	-0.030634	0.573732	-0.046869	0.166887	0.172566	0.164706	0.166831	0.174194	0.178048	0.170648	0.171147	0.174800	0.179109	0.134743	-0.019119	0.582473	-0.018311	0.191015	0.246195	-0.020755	0.586675	-0.014056	0.187325	0.196817	0.176809	0.187591	0.197892	0.203881	0.185382	0.192059	0.199527	-0.781447	-0.857308	-0.765672	-0.864298	-0.705643	-0.699909	-0.890893	-0.978500	-0.871467	-0.735157	-0.802950	-0.847845	-0.790160	-0.654964	-0.988259	-0.811624	-0.862602	-0.589080	-0.965005	-0.029360	0.037078	0.146641	0.011716	0.138407	-0.156535	
0.155371	0.124121	-0.034088	0.564225	-0.052870	0.160169	0.200240	-0.038511	0.565855	-0.054746	0.159010	0.164689	0.156829	0.158954	0.166317	0.170171	0.162771	0.163270	0.166923	0.171951	0.125616	-0.026559	0.573013	-0.025437	0.183141	0.236020	-0.029371	0.576257	-0.021214	0.179808	0.188621	0.169819	0.178084	0.190201	0.196513	0.177878	0.183309	0.191624	-0.768514	-0.890969	-0.820234	-0.839593	-0.778086	-0.756809	-0.913696	-0.885258	-0.872742	-0.786135	-0.788297	-0.944435	-0.800892	-0.953379	-0.887495	-0.799550	-0.798209	-0.848740	-1.015387	-0.029497	0.038089	0.144873	0.008532	0.101383	-0.161991	
0.147335	0.116085	-0.042124	0.556189	-0.060905	0.152134	0.192204	-0.046546	0.557819	-0.062781	0.150974	0.156654	0.148793	0.150918	0.158282	0.162135	0.154736	0.155234	0.158887	0.164767	0.116719	-0.033871	0.565695	-0.032952	0.175011	0.227123	-0.039112	0.567405	-0.030154	0.171269	0.180477	0.162870	0.170333	0.182783	0.189711	0.170584	0.175467	0.184176	-0.746615	-0.921698	-0.766982	-0.784773	-0.831747	-0.804599	-0.954332	-0.916125	-0.874499	-0.790160	-0.797011	-0.884067	-0.756621	-0.910748	-0.821611	-0.694911	-0.878700	-0.914624	-0.961130	-0.029682	0.039013	0.142999	0.033985	0.096017	-0.173935	
0.139149	0.107899	-0.050310	0.548003	-0.069092	0.143947	0.184018	-0.054733	0.549633	-0.070968	0.142788	0.148467	0.140607	0.142732	0.150095	0.153949	0.146549	0.147048	0.150701	0.157020	0.107260	-0.042308	0.558680	-0.040834	0.165679	0.217740	-0.047216	0.559207	-0.037585	0.162679	0.173047	0.155554	0.162703	0.175456	0.183328	0.163457	0.167686	0.177030	-0.764804	-0.939681	-0.799329	-0.742637	-0.748572	-0.831750	-0.943502	-0.936781	-0.871389	-0.798209	-0.852358	-0.812966	-0.838455	-0.871993	-0.926250	-0.744548	-0.755280	-0.868117	-0.918499	-0.029813	0.039836	0.140972	0.023655	0.100608	-0.229638	
0.130820	0.099570	-0.058639	0.539674	-0.077421	0.135618	0.175689	-0.063062	0.541304	-0.079297	0.134459	0.140138	0.132278	0.134403	0.141766	0.145620	0.138220	0.138719	0.142372	0.149222	0.097314	-0.048904	0.551793	-0.048076	0.156398	0.207820	-0.056446	0.551362	-0.045644	0.154779	0.165574	0.148438	0.154982	0.167614	0.176138	0.156980	0.159722	0.169491	-0.796553	-0.957317	-0.801285	-0.706342	-0.694911	-0.853893	-0.961957	-0.876031	-0.823333	-0.900165	-0.825305	-0.811624	-0.748572	-0.852615	-1.023138	-0.755280	-0.700277	-0.999885	-0.980508	-0.030003	0.040638	0.138799	0.023269	0.107956	-0.220871	
0.122357	0.091106	-0.067102	0.531211	-0.085884	0.127155	0.167226	-0.071525	0.532841	-0.087760	0.125996	0.131675	0.123814	0.125939	0.133303	0.137156	0.129757	0.130256	0.133909	0.141450	0.088417	-0.056292	0.545226	-0.055674	0.147297	0.199128	-0.065419	0.543372	-0.054270	0.146367	0.158028	0.140672	0.146111	0.158349	0.169158	0.150062	0.149277	0.160166	-0.808978	-0.953923	-0.708551	-0.674517	-0.845162	-0.891182	-0.930163	-0.902561	-0.809194	-0.979315	-0.819240	-0.975290	-0.878700	-1.003761	-1.368060	-0.761988	-0.778086	-1.147155	-1.387437	-0.030098	0.041318	0.136596	0.021127	0.061081	-0.224485	
0.113767	0.082517	-0.075692	0.522621	-0.094473	0.118566	0.158636	-0.080114	0.524251	-0.096349	0.117406	0.123086	0.115225	0.117350	0.124714	0.128567	0.121168	0.121666	0.125319	0.133371	0.077705	-0.063732	0.538147	-0.063545	0.138962	0.189233	-0.073319	0.535654	-0.063000	0.138467	0.150639	0.133199	0.138087	0.148842	0.162272	0.142380	0.140254	0.149024	-0.814069	-0.981554	-0.747779	-0.695961	-0.837113	-0.884011	-0.947137	-0.872231	-0.794112	-0.939069	-0.838493	-0.807599	-0.794184	-1.089022	-1.333180	-0.799550	-0.890774	-1.166533	-1.154906	-0.030235	0.042020	0.134313	0.031665	0.077664	-0.214991	
0.105060	0.073810	-0.084399	0.513914	-0.103180	0.109859	0.149929	-0.088821	0.515544	-0.105056	0.108699	0.114379	0.106518	0.108643	0.116007	0.119860	0.112461	0.112959	0.116612	0.124627	0.068833	-0.069612	0.531468	-0.071815	0.130244	0.180081	-0.081347	0.527713	-0.071647	0.130542	0.143690	0.126114	0.130942	0.138881	0.155041	0.134352	0.133139	0.140516	-0.837663	-0.979943	-0.702972	-0.687694	-0.847845	-0.879454	-0.962497	-0.839439	-0.781252	-0.888091	-0.814878	-0.770037	-0.786135	-0.999885	-1.158782	-0.818332	-0.901506	-1.042516	-1.309927	-0.030146	0.042749	0.132052	0.075257	0.080668	-0.219425	
0.096244	0.064994	-0.093215	0.505098	-0.111996	0.101043	0.141113	-0.097637	0.506728	-0.113872	0.099883	0.105563	0.097702	0.099827	0.107191	0.111044	0.103645	0.104143	0.107796	0.116165	0.057635	-0.076873	0.523958	-0.080440	0.121142	0.170800	-0.089324	0.519787	-0.080262	0.122361	0.136039	0.118778	0.121162	0.130524	0.147421	0.126271	0.124146	0.133764	-0.860052	-1.018831	-0.650683	-0.722698	-0.971266	-0.898408	-0.929595	-0.833490	-0.791386	-0.932362	-0.814446	-0.837113	-0.819673	-1.224666	-1.007636	-0.932362	-0.971266	-1.100649	-1.259545	-0.030028	0.043377	0.129633	0.068615	0.075683	-0.232632	
0.087328	0.056078	-0.102131	0.496182	-0.120913	0.092126	0.132197	-0.106554	0.497812	-0.122789	0.090967	0.096646	0.088786	0.090911	0.098274	0.102128	0.094728	0.095227	0.098880	0.107805	0.048840	-0.084799	0.515952	-0.089191	0.112450	0.162056	-0.097173	0.512229	-0.088867	0.113412	0.128986	0.110603	0.113532	0.123530	0.139519	0.117813	0.117152	0.123863	-0.858816	-1.020682	-0.755530	-0.770364	-1.007487	-0.885554	-0.944512	-0.806266	-0.795743	-0.882725	-0.848906	-0.686862	-0.878700	-0.992134	-1.197537	-0.869310	-0.861261	-0.902997	-1.209163	-0.029607	0.044047	0.127412	0.099501	0.087254	-0.214916	
0.078320	0.047070	-0.111139	0.487174	-0.129920	0.083119	0.123189	-0.115561	0.488804	-0.131796	0.081959	0.087639	0.079778	0.081903	0.089267	0.093120	0.085721	0.086219	0.089872	0.099291	0.038563	-0.091472	0.508011	-0.097566	0.104447	0.152085	-0.105124	0.504751	-0.097419	0.104873	0.121241	0.102113	0.104025	0.114416	0.131344	0.110487	0.107373	0.115173	-0.879484	-0.967085	-0.765396	-0.792067	-0.906873	-0.855529	-0.914522	-0.788852	-0.775968	-1.004804	-0.865900	-0.979315	-0.893457	-1.081271	-1.220790	-1.007487	-0.739182	-1.228541	-1.019263	-0.029027	0.044865	0.125052	0.101024	0.110346	-0.233353	
0.069230	0.037980	-0.120229	0.478084	-0.139011	0.074028	0.114099	-0.124652	0.479714	-0.140887	0.072869	0.078548	0.070688	0.072813	0.080176	0.084030	0.076630	0.077129	0.080782	0.090496	0.026956	-0.098093	0.499893	-0.106034	0.096880	0.141910	-0.113126	0.496969	-0.105615	0.095030	0.113516	0.093320	0.097697	0.105424	0.122645	0.103654	0.100409	0.106181	-0.904514	-1.029548	-0.681660	-0.810324	-0.823698	-0.817527	-0.940396	-0.802601	-0.771637	-0.807599	-0.868084	-0.795526	-0.988706	-0.685968	-1.406815	-0.873334	-0.763329	-0.635586	-1.395189	-0.028387	0.045877	0.123008	0.138067	0.124522	-0.152279	
0.060066	0.028816	-0.129393	0.468920	-0.148175	0.064864	0.104935	-0.133816	0.470550	-0.150051	0.063705	0.069384	0.061524	0.063649	0.071012	0.074866	0.067466	0.067965	0.071618	0.080909	0.016090	-0.106300	0.491728	-0.114240	0.089491	0.131581	-0.120719	0.488724	-0.113025	0.086491	0.102920	0.084558	0.088129	0.095372	0.112227	0.096097	0.091659	0.097401	-0.925641	-1.012719	-0.733571	-0.839579	-0.845162	-0.773859	-0.948949	-0.804086	-0.796634	-0.811624	-0.867214	-1.144323	-0.945777	-1.251794	-1.263421	-1.117492	-0.834430	-1.061893	-1.457197	-0.027302	0.047051	0.120969	0.145550	0.120370	-0.213894	
0.050838	0.019587	-0.138621	0.459691	-0.157403	0.055636	0.095706	-0.143044	0.461321	-0.159279	0.054476	0.060156	0.052295	0.054420	0.061784	0.065637	0.058238	0.058736	0.062389	0.071782	0.006656	-0.115683	0.482940	-0.123254	0.081438	0.122505	-0.128798	0.480112	-0.120938	0.076852	0.094085	0.075293	0.079167	0.086925	0.102564	0.088530	0.084210	0.088741	-0.944177	-1.027474	-0.880234	-0.865646	-1.014195	-0.778093	-0.964889	-0.804619	-0.849820	-0.871993	-0.890141	-1.078588	-1.059807	-1.178159	-1.259545	-1.082613	-0.825039	-0.972756	-1.511454	-0.026167	0.048348	0.119005	0.204019	0.114395	-0.143962	
0.041553	0.010303	-0.147906	0.450407	-0.166687	0.046352	0.086422	-0.152328	0.452037	-0.168563	0.045192	0.050872	0.043011	0.045136	0.052500	0.056353	0.048954	0.049452	0.053105	0.061095	-0.002548	-0.123711	0.473448	-0.132634	0.071774	0.114324	-0.136392	0.471515	-0.129521	0.067802	0.084652	0.065735	0.069690	0.078840	0.093498	0.080932	0.076278	0.079930	-1.009026	-0.963427	-0.878378	-0.912484	-1.062490	-0.862172	-0.912560	-0.817590	-0.874756	-0.988706	-0.935186	-1.058465	-1.049074	-1.240168	-1.348682	-1.109443	-0.851870	-1.182035	-1.418442	-0.024587	0.049934	0.117424	0.225453	0.179347	-0.136888	
0.032223	0.000973	-0.157236	0.441077	-0.176018	0.037021	0.077092	-0.161659	0.442707	-0.177894	0.035862	0.041541	0.033681	0.035806	0.043169	0.047023	0.039623	0.040122	0.043775	0.051022	-0.013260	-0.131918	0.464005	-0.142025	0.062493	0.104046	-0.143320	0.462407	-0.138723	0.058266	0.075367	0.056176	0.061273	0.071301	0.083688	0.073155	0.067982	0.071846	-1.049916	-0.996895	-0.832777	-0.946064	-0.941752	-0.929028	-0.919433	-0.763718	-0.894992	-0.964558	-0.955995	-1.051757	-1.038342	-0.751852	-0.918499	-1.167129	-0.900165	-0.992134	-1.108400	-0.023081	0.051732	0.115957	0.240300	0.190771	-0.105853	
0.022856	-0.008395	-0.166603	0.431709	-0.185385	0.027654	0.067724	-0.171026	0.433339	-0.187261	0.026495	0.032174	0.024313	0.026438	0.033802	0.037655	0.030256	0.030755	0.034407	0.041665	-0.021774	-0.139971	0.454513	-0.150766	0.053391	0.096044	-0.151757	0.453267	-0.147611	0.048653	0.065745	0.047488	0.051887	0.062763	0.073878	0.064561	0.057839	0.062914	-1.022286	-0.965428	-0.843043	-0.961456	-0.889433	-0.948142	-0.907679	-0.712022	-0.922837	-0.981998	-0.949529	-1.031635	-0.917605	-0.918499	-1.123902	-1.136274	-0.995413	-0.895246	-1.003761	-0.021116	0.053656	0.114809	0.249994	0.195308	-0.075278	
0.013460	-0.017790	-0.175999	0.422314	-0.194780	0.018259	0.058329	-0.180422	0.423944	-0.196657	0.017099	0.022779	0.014918	0.017043	0.024407	0.028260	0.020861	0.021359	0.025012	0.030288	-0.031157	-0.151604	0.445357	-0.161152	0.043932	0.086942	-0.160680	0.444383	-0.156635	0.040241	0.055956	0.039145	0.042592	0.053498	0.063785	0.053913	0.048180	0.054194	-0.959742	-0.931161	-0.916913	-0.958762	-0.999438	-0.940550	-0.882279	-0.797191	-0.919851	-0.916263	-0.931402	-1.104077	-0.867968	-0.755727	-1.158782	-1.153714	-1.114809	-0.922375	-1.104524	-0.019207	0.055685	0.113595	0.242215	0.185503	-0.113121	
0.004046	-0.027204	-0.185413	0.412900	-0.204194	0.008845	0.048915	-0.189835	0.414530	-0.206070	0.007685	0.013365	0.005504	0.007629	0.014993	0.018846	0.011447	0.011945	0.015598	0.020981	-0.039466	-0.160092	0.436441	-0.170249	0.035188	0.079656	-0.169756	0.435610	-0.165638	0.032444	0.046146	0.029189	0.032570	0.043052	0.054112	0.044543	0.037916	0.044385	-0.966000	-0.916401	-0.934923	-0.940845	-1.094686	-0.916091	-0.878374	-0.895764	-0.915482	-1.059807	-0.861072	-1.199326	-1.008829	-1.275047	-1.360309	-1.077247	-1.183227	-1.317678	-1.492077	-0.017179	0.057881	0.112283	0.266147	0.226365	-0.092743	
-0.005377	-0.036627	-0.194836	0.403477	-0.213618	-0.000579	0.039492	-0.199259	0.405107	-0.215494	-0.001738	0.003941	-0.003919	-0.001794	0.005569	0.009423	0.002023	0.002522	0.006175	0.011317	-0.048312	-0.169193	0.427301	-0.180028	0.026393	0.071679	-0.178653	0.426422	-0.175573	0.022754	0.036640	0.019536	0.023154	0.033273	0.045004	0.034691	0.026078	0.034060	-0.985629	-0.860267	-0.931972	-0.926875	-1.079930	-0.920840	-0.786818	-0.928693	-0.927846	-1.142981	-0.868691	-1.008829	-1.085296	-1.298301	-1.526956	-1.144323	-1.189935	-1.240168	-1.712981	-0.015116	0.060076	0.111379	0.276403	0.207511	-0.065621	
-0.014800	-0.046051	-0.204259	0.394054	-0.223041	-0.010002	0.030069	-0.208682	0.395684	-0.224917	-0.011161	-0.005482	-0.013342	-0.011218	-0.003854	-0.000001	-0.007400	-0.006901	-0.003248	0.003085	-0.056007	-0.177477	0.415780	-0.189607	0.013661	0.063575	-0.186169	0.414566	-0.188108	0.014010	0.027638	0.009611	0.011436	0.023069	0.035309	0.024263	0.016298	0.023735	-0.925782	-0.849387	-0.923445	-0.945913	-1.012853	-0.995131	-0.803525	-0.890762	-0.964652	-1.141640	-0.920481	-1.012853	-1.067856	-1.251794	-1.612218	-1.207375	-1.278476	-1.399064	-1.643222	-0.012881	0.062453	0.110439	0.278143	0.232104	-0.067145	
-0.024214	-0.055464	-0.213673	0.384640	-0.232455	-0.019416	0.020655	-0.218096	0.386270	-0.234331	-0.020575	-0.014896	-0.022756	-0.020631	-0.013268	-0.009414	-0.016814	-0.016315	-0.012662	-0.004815	-0.063703	-0.187601	0.406528	-0.198673	0.003921	0.057055	-0.193149	0.405250	-0.197992	0.004960	0.017754	0.000304	0.003473	0.013623	0.025667	0.013321	0.007850	0.014985	-0.858056	-0.810462	-0.916301	-0.948003	-0.928337	-1.033399	-0.750637	-0.768165	-0.969932	-1.197984	-0.915988	-1.094686	-0.953826	-1.077396	-1.259545	-1.120175	-1.230181	-1.240168	-1.092898	-0.010480	0.064864	0.109471	0.291982	0.209040	-0.055707	
-0.033609	-0.064860	-0.223068	0.375244	-0.241850	-0.028811	0.011259	-0.227491	0.376874	-0.243726	-0.029970	-0.024291	-0.032152	-0.030027	-0.022663	-0.018810	-0.026209	-0.025710	-0.022058	-0.013405	-0.071296	-0.196549	0.397085	-0.207361	-0.006459	0.048388	-0.200640	0.396302	-0.207351	-0.004627	0.008217	-0.008416	-0.006912	0.003631	0.015868	0.002819	-0.002747	0.003570	-0.852672	-0.793710	-0.965793	-0.957706	-0.902848	-1.021587	-0.747717	-0.726398	-0.942477	-1.073222	-0.951921	-1.114809	-0.995413	-1.344807	-1.441695	-1.155055	-1.142981	-1.182035	-1.096773	-0.008133	0.067229	0.108266	0.285782	0.217218	-0.112455	
-0.042977	-0.074227	-0.232436	0.365877	-0.251218	-0.038179	0.001892	-0.236859	0.367507	-0.253094	-0.039338	-0.033659	-0.041519	-0.039394	-0.032031	-0.028177	-0.035577	-0.035078	-0.031425	-0.023376	-0.078633	-0.206290	0.387961	-0.216270	-0.015587	0.041690	-0.207492	0.387274	-0.216710	-0.013320	-0.001520	-0.016979	-0.015208	-0.006845	0.006414	-0.006896	-0.010952	-0.005119	-0.925608	-0.774335	-0.974301	-0.956326	-0.961875	-0.994541	-0.778072	-0.736050	-0.925430	-1.042367	-0.927053	-0.973949	-0.932362	-1.135528	-1.213039	-1.083954	-1.030293	-1.050267	-1.263421	-0.005755	0.069596	0.106722	0.313404	0.200984	-0.149990	
-0.052307	-0.083558	-0.241766	0.356547	-0.260548	-0.047509	-0.007438	-0.246189	0.358177	-0.262424	-0.048668	-0.042989	-0.050850	-0.048725	-0.041361	-0.037508	-0.044907	-0.044408	-0.040755	-0.031915	-0.085511	-0.215341	0.379332	-0.225032	-0.024714	0.035043	-0.214983	0.378437	-0.225682	-0.022243	-0.010145	-0.025866	-0.024442	-0.014959	-0.002295	-0.016821	-0.020217	-0.013869	-0.937238	-0.728292	-0.953467	-0.917415	-0.878700	-0.965232	-0.708331	-0.730402	-0.921746	-0.955168	-0.904252	-0.933703	-1.003463	-1.154906	-1.294425	-1.113468	-1.147006	-1.162657	-1.480450	-0.003346	0.071900	0.105095	0.289116	0.232633	-0.153555	
-0.061591	-0.092842	-0.251050	0.347263	-0.269832	-0.056793	-0.016723	-0.255473	0.348893	-0.271708	-0.057952	-0.052273	-0.060134	-0.058009	-0.050645	-0.046792	-0.054191	-0.053692	-0.050039	-0.039815	-0.092516	-0.223624	0.370480	-0.233699	-0.033457	0.027884	-0.222141	0.370048	-0.234632	-0.031574	-0.018519	-0.035026	-0.033283	-0.023861	-0.011833	-0.026579	-0.028513	-0.022953	-0.880584	-0.699034	-0.900901	-0.886633	-0.917605	-0.898894	-0.708915	-0.742951	-0.886902	-0.948460	-0.945637	-1.012853	-1.058465	-1.127777	-1.484326	-1.206033	-1.061148	-0.763478	-1.484326	-0.000996	0.074162	0.103308	0.302311	0.197347	-0.179232	
-0.070820	-0.102070	-0.260279	0.338034	-0.279061	-0.066022	-0.025951	-0.264702	0.339664	-0.280937	-0.067181	-0.061502	-0.069362	-0.067237	-0.059874	-0.056020	-0.063420	-0.062921	-0.059268	-0.047485	-0.100697	-0.233033	0.361851	-0.242755	-0.041434	0.019422	-0.229811	0.361851	-0.243488	-0.043591	-0.027187	-0.044595	-0.042670	-0.034397	-0.023697	-0.036221	-0.038383	-0.033035	-0.821876	-0.695963	-0.916107	-0.879335	-0.980657	-0.855631	-0.717255	-0.743694	-0.841618	-1.051757	-0.970488	-0.994072	-1.125542	-1.054142	-1.356433	-1.227498	-1.130908	-1.294425	-1.278923	0.001385	0.076377	0.101142	0.283362	0.180276	-0.193310	
-0.079984	-0.111234	-0.269443	0.328870	-0.288225	-0.075186	-0.035115	-0.273866	0.330500	-0.290101	-0.076345	-0.070666	-0.078526	-0.076401	-0.069037	-0.065184	-0.072584	-0.072085	-0.068432	-0.056050	-0.107523	-0.241597	0.353462	-0.252449	-0.049462	0.013056	-0.238095	0.353526	-0.252722	-0.053485	-0.035142	-0.054342	-0.050996	-0.043390	-0.033088	-0.045518	-0.046740	-0.041846	-0.823105	-0.692741	-0.925881	-0.864597	-0.979315	-0.829934	-0.685820	-0.793990	-0.829582	-0.926995	-1.008687	-0.779427	-1.015536	-0.709221	-1.112275	-0.940411	-0.971266	-0.848740	-1.123902	0.003738	0.078619	0.098725	0.301992	0.198048	-0.230201	
-0.089074	-0.120325	-0.278533	0.319780	-0.297315	-0.084276	-0.044205	-0.282956	0.321410	-0.299191	-0.085435	-0.079756	-0.087616	-0.085492	-0.078128	-0.074275	-0.081674	-0.081175	-0.077522	-0.065944	-0.113992	-0.250929	0.344993	-0.262353	-0.057388	0.005616	-0.246020	0.346032	-0.261536	-0.063583	-0.045056	-0.063461	-0.060836	-0.052322	-0.041975	-0.053871	-0.056368	-0.050990	-0.902676	-0.672261	-0.894812	-0.847151	-1.149689	-0.818481	-0.701813	-0.811077	-0.811860	-0.952484	-1.007768	-0.987364	-1.055782	-1.193661	-1.147155	-1.105419	-0.961875	-1.100649	-1.290549	0.006063	0.080643	0.096144	0.287673	0.158956	-0.233147	
-0.098082	-0.129332	-0.287541	0.310772	-0.306323	-0.093284	-0.053213	-0.291964	0.312402	-0.308199	-0.094443	-0.088764	-0.096624	-0.094499	-0.087136	-0.083282	-0.090682	-0.090183	-0.086530	-0.075046	-0.120562	-0.258522	0.336429	-0.272415	-0.065748	-0.000929	-0.253000	0.339033	-0.270633	-0.073861	-0.053242	-0.072642	-0.069314	-0.059437	-0.050999	-0.062853	-0.064816	-0.059134	-0.951639	-0.656796	-0.881788	-0.855055	-0.948460	-0.830617	-0.724553	-0.767255	-0.759376	-0.904189	-1.031234	-0.931020	-1.043708	-0.817736	-0.871993	-0.940411	-0.910897	-0.798358	-1.170408	0.008298	0.082670	0.093723	0.291108	0.175901	-0.215714	
-0.106998	-0.138249	-0.296457	0.301856	-0.315239	-0.102200	-0.062129	-0.300880	0.303486	-0.317115	-0.103359	-0.097680	-0.105541	-0.103416	-0.096052	-0.092199	-0.099598	-0.099099	-0.095446	-0.085068	-0.127133	-0.266934	0.327880	-0.281743	-0.074901	-0.007832	-0.261820	0.331060	-0.279730	-0.084880	-0.062203	-0.081613	-0.079336	-0.067975	-0.059593	-0.071332	-0.074898	-0.068308	-0.988248	-0.652325	-0.831324	-0.860744	-0.995413	-0.859873	-0.693086	-0.739734	-0.753687	-1.007487	-1.074525	-1.049074	-1.157738	-1.120026	-1.337056	-1.041025	-0.964558	-1.193661	-1.406815	0.010494	0.084475	0.091226	0.280691	0.153444	-0.244056	
-0.115814	-0.147065	-0.305273	0.293040	-0.324055	-0.111016	-0.070945	-0.309696	0.294670	-0.325931	-0.112175	-0.106496	-0.114357	-0.112232	-0.104868	-0.101015	-0.108414	-0.107915	-0.104262	-0.094348	-0.133473	-0.276240	0.319107	-0.290882	-0.083900	-0.014786	-0.268800	0.323006	-0.289006	-0.095311	-0.070734	-0.090983	-0.087783	-0.076816	-0.068177	-0.080051	-0.083194	-0.076998	-0.978362	-0.645432	-0.832297	-0.867006	-0.873334	-0.891976	-0.708637	-0.745852	-0.793582	-0.929678	-1.080121	-0.980657	-0.926995	-0.833238	-1.278923	-0.990047	-0.884067	-0.728598	-1.139404	0.012557	0.086328	0.088701	0.264134	0.167945	-0.235887	
-0.124521	-0.155772	-0.313980	0.284333	-0.332762	-0.119723	-0.079652	-0.318403	0.285963	-0.334638	-0.120882	-0.115203	-0.123064	-0.120939	-0.113575	-0.109722	-0.117121	-0.116622	-0.112969	-0.103118	-0.139865	-0.282171	0.310415	-0.301509	-0.092311	-0.021459	-0.276495	0.315225	-0.297810	-0.104771	-0.080366	-0.099483	-0.097654	-0.086990	-0.076509	-0.088038	-0.093125	-0.086475	-0.935863	-0.623849	-0.781037	-0.882601	-1.015536	-0.903112	-0.704595	-0.751840	-0.801333	-1.031635	-1.021015	-1.227498	-0.965900	-1.089022	-1.546334	-1.031635	-0.971266	-1.275047	-1.360309	0.014631	0.087974	0.086073	0.241242	0.127124	-0.259723	
-0.133111	-0.164361	-0.322570	0.275743	-0.341351	-0.128312	-0.088242	-0.326992	0.277373	-0.343227	-0.129472	-0.123792	-0.131653	-0.129528	-0.122164	-0.118311	-0.125710	-0.125212	-0.121559	-0.114009	-0.147790	-0.292832	0.301786	-0.310418	-0.101592	-0.028464	-0.283730	0.307075	-0.306959	-0.112620	-0.089495	-0.108339	-0.105586	-0.096194	-0.084296	-0.096517	-0.101088	-0.095043	-0.922360	-0.697157	-0.847075	-0.878704	-0.900165	-0.907027	-0.702676	-0.769224	-0.810184	-0.959192	-0.891765	-1.012853	-0.928337	-0.693719	-1.170408	-0.885408	-0.854553	-0.705345	-1.178159	0.016530	0.089532	0.083446	0.237763	0.130015	-0.218274	
-0.141574	-0.172824	-0.331033	0.267280	-0.349815	-0.136776	-0.096705	-0.335456	0.268910	-0.351691	-0.137935	-0.132256	-0.140116	-0.137991	-0.130628	-0.126774	-0.134174	-0.133675	-0.130022	-0.121449	-0.155179	-0.299684	0.293493	-0.318939	-0.110412	-0.035546	-0.291119	0.298750	-0.315721	-0.121210	-0.098372	-0.118662	-0.114336	-0.104096	-0.092146	-0.106274	-0.109748	-0.103794	-0.846125	-0.783523	-0.804739	-0.859594	-0.922971	-0.896346	-0.723993	-0.754837	-0.834399	-0.996755	-0.839231	-1.096028	-1.049074	-0.744101	-0.914624	-0.827722	-0.960534	-0.720847	-1.077396	0.018391	0.091163	0.081034	0.244348	0.125659	-0.188598	
-0.149903	-0.181153	-0.339362	0.258951	-0.358144	-0.145105	-0.105034	-0.343785	0.260581	-0.360020	-0.146264	-0.140585	-0.148445	-0.146320	-0.138957	-0.135103	-0.142503	-0.142004	-0.138351	-0.127942	-0.161622	-0.307661	0.285200	-0.327376	-0.118363	-0.042858	-0.299224	0.290186	-0.324525	-0.131871	-0.108349	-0.127613	-0.123753	-0.112574	-0.099839	-0.115497	-0.119134	-0.113028	-0.742334	-0.713219	-0.757780	-0.837618	-0.910897	-0.846555	-0.729163	-0.774474	-0.852031	-1.007487	-0.951770	-1.153714	-1.062490	-0.961130	-1.337056	-0.921629	-1.079930	-1.255670	-1.286674	0.020240	0.092514	0.078942	0.226973	0.092782	-0.202318	
