-6.781073287129402161e-03,-5.518594756722450256e-02,-2.205570638179779053e-01,3.714164495468139648e-01,-2.315422147512435913e-01,-3.253140673041343689e-02,-3.181394562125205994e-02,-2.512819468975067139e-01,3.992774188518524170e-01,-1.608900576829910278e-01,1.034312648698687553e-03,-4.676433280110359192e-02,3.448457643389701843e-02,-9.619701653718948364e-03,-1.449165958911180496e-02,-3.860138822346925735e-03,4.978066682815551758e-02,2.535109221935272217e-02,1.161655411124229431e-02
-1.006031781435012817e-02,-5.473524332046508789e-02,-2.250205129384994507e-01,3.753798902034759521e-01,-2.464171648025512695e-01,-3.279707208275794983e-02,-3.135987371206283569e-02,-2.537882924079895020e-01,4.063481092453002930e-01,-1.643033325672149658e-01,1.427547354251146317e-02,-4.191855341196060181e-02,3.621383756399154663e-02,-4.167794249951839447e-03,-1.423379965126514435e-02,-9.264159016311168671e-03,4.898865893483161926e-02,2.507593110203742981e-02,1.144463941454887390e-02
-1.159435138106346130e-02,-4.999553784728050232e-02,-2.229223400354385376e-01,3.801751732826232910e-01,-2.679986953735351562e-01,-3.285867720842361450e-02,-2.976895868778228760e-02,-2.546808719635009766e-01,4.184981584548950195e-01,-1.667405962944030762e-01,2.206813357770442963e-02,-3.359683230519294739e-02,3.597541898488998413e-02,-3.170878626406192780e-03,-1.242157630622386932e-02,-1.199540775269269943e-02,4.718259721994400024e-02,2.439502812922000885e-02,1.096889283508062363e-02
-1.533525157719850540e-02,-4.504190385341644287e-02,-2.159416377544403076e-01,3.786166906356811523e-01,-2.929202020168304443e-01,-3.108769096434116364e-02,-2.933513745665550232e-02,-2.563411593437194824e-01,4.352042973041534424e-01,-1.706716269254684448e-01,2.553049102425575256e-02,-2.406802400946617126e-02,3.514245897531509399e-02,-2.598175080493092537e-03,-8.903081528842449188e-03,-1.257945876568555832e-02,4.460095986723899841e-02,2.293858118355274200e-02,1.000706758350133896e-02
-2.404860593378543854e-02,-3.934474289417266846e-02,-2.071518301963806152e-01,3.728939592838287354e-01,-3.205559253692626953e-01,-2.664802968502044678e-02,-2.977255731821060181e-02,-2.606970071792602539e-01,4.556078016757965088e-01,-1.739111393690109253e-01,2.745482884347438812e-02,-1.466536056250333786e-02,3.381060063838958740e-02,-2.103994367644190788e-03,-5.454575642943382263e-03,-1.260535325855016708e-02,4.118484258651733398e-02,2.092338725924491882e-02,9.399365633726119995e-03
-3.313515707850456238e-02,-3.472370654344558716e-02,-1.981642991304397583e-01,3.660396337509155273e-01,-3.508937954902648926e-01,-2.304972149431705475e-02,-3.091862611472606659e-02,-2.685682773590087891e-01,4.792407751083374023e-01,-1.779939234256744385e-01,2.842394635081291199e-02,-6.188155617564916611e-03,3.234781697392463684e-02,-1.727201044559478760e-03,-2.598784165456891060e-03,-1.262294966727495193e-02,3.727229312062263489e-02,1.869987510144710541e-02,8.883811533451080322e-03
-4.144207388162612915e-02,-3.370692953467369080e-02,-2.003666609525680542e-01,3.827895820140838623e-01,-3.802817165851593018e-01,-2.304568886756896973e-02,-3.366328403353691101e-02,-2.767010331153869629e-01,5.038641095161437988e-01,-1.827646791934967041e-01,2.741040475666522980e-02,-2.269199758302420378e-04,3.160893917083740234e-02,-1.592729822732508183e-03,5.101605318486690521e-03,-1.261966768652200699e-02,3.404833748936653137e-02,1.622403413057327271e-02,1.131757348775863647e-02
-4.444519057869911194e-02,-3.750465065240859985e-02,-1.931475549936294556e-01,3.931033611297607422e-01,-3.909280002117156982e-01,-2.236187458038330078e-02,-3.710269927978515625e-02,-2.802755534648895264e-01,5.325612425804138184e-01,-1.916879117488861084e-01,2.756010740995407104e-02,5.394608713686466217e-03,3.155140206217765808e-02,-1.493759104050695896e-03,9.161337278783321381e-03,-1.218988001346588135e-02,3.358302265405654907e-02,1.593603566288948059e-02,1.249597780406475067e-02
-4.845358803868293762e-02,-4.241016134619712830e-02,-1.791789382696151733e-01,3.895951211452484131e-01,-3.958619534969329834e-01,-2.162368781864643097e-02,-4.066719114780426025e-02,-2.871107459068298340e-01,5.652472972869873047e-01,-2.031227052211761475e-01,2.634513191878795624e-02,8.772895671427249908e-03,3.139347583055496216e-02,-1.321029034443199635e-03,9.356289170682430267e-03,-1.199220214039087296e-02,3.331705182790756226e-02,1.558540016412734985e-02,1.233472116291522980e-02
-5.269705131649971008e-02,-4.843727871775627136e-02,-1.620465666055679321e-01,3.789685666561126709e-01,-3.970887660980224609e-01,-2.176791243255138397e-02,-4.421112686395645142e-02,-2.977102994918823242e-01,6.000860929489135742e-01,-2.175395488739013672e-01,2.476999163627624512e-02,9.490068070590496063e-03,3.119651414453983307e-02,-1.155947567895054817e-03,9.441367350518703461e-03,-1.190803293138742447e-02,3.276844322681427002e-02,1.524702645838260651e-02,1.207834109663963318e-02
-5.720303952693939209e-02,-5.545711517333984375e-02,-1.433261036872863770e-01,3.644467294216156006e-01,-3.964269757270812988e-01,-2.487346157431602478e-02,-4.715821892023086548e-02,-3.120492994785308838e-01,6.343210339546203613e-01,-2.330950051546096802e-01,2.241183817386627197e-02,9.482021443545818329e-03,3.091789036989212036e-02,-9.908094070851802826e-04,9.416882880032062531e-03,-1.186241582036018372e-02,3.187002986669540405e-02,1.497484184801578522e-02,1.177616789937019348e-02
-6.078455224633216858e-02,-6.347125023603439331e-02,-1.244217529892921448e-01,3.488120138645172119e-01,-3.953053057193756104e-01,-2.863892540335655212e-02,-4.970288276672363281e-02,-3.307317793369293213e-01,6.692219376564025879e-01,-2.510742843151092529e-01,2.040748298168182373e-02,9.468385949730873108e-03,3.051816485822200775e-02,-8.452664478681981564e-04,9.348192252218723297e-03,-1.182943582534790039e-02,3.063890710473060608e-02,1.455514132976531982e-02,1.141269039362668991e-02
-6.419084221124649048e-02,-7.262399792671203613e-02,-1.057707220315933228e-01,3.331455290317535400e-01,-3.942486941814422607e-01,-3.390473499894142151e-02,-5.209493637084960938e-02,-3.524365425109863281e-01,7.017428874969482422e-01,-2.702333033084869385e-01,1.810781098902225494e-02,9.455949999392032623e-03,2.995670028030872345e-02,-7.180607644841074944e-04,9.284975007176399231e-03,-1.177809201180934906e-02,2.909665182232856750e-02,1.394587848335504532e-02,1.103894226253032684e-02
-6.702348589897155762e-02,-8.294904232025146484e-02,-8.743607997894287109e-02,3.180417418479919434e-01,-3.936247229576110840e-01,-4.022963717579841614e-02,-5.431739613413810730e-02,-3.767071366310119629e-01,7.313659191131591797e-01,-2.883720993995666504e-01,1.603526622056961060e-02,9.440837427973747253e-03,2.920008637011051178e-02,-6.024913745932281017e-04,9.211069904267787933e-03,-1.171280909329652786e-02,2.728423476219177246e-02,1.319249160587787628e-02,1.064644288271665573e-02
-7.021205872297286987e-02,-9.458222985267639160e-02,-6.879707425832748413e-02,3.026120066642761230e-01,-3.929653763771057129e-01,-4.803512617945671082e-02,-5.655222386121749878e-02,-4.028075933456420898e-01,7.591006755828857422e-01,-3.064289689064025879e-01,1.339869853109121323e-02,9.425692260265350342e-03,2.835371904075145721e-02,-5.092218634672462940e-04,9.203827939927577972e-03,-1.153663359582424164e-02,2.534653432667255402e-02,1.231194753199815750e-02,1.028194837272167206e-02
-7.322830706834793091e-02,-1.072028875350952148e-01,-5.003410205245018005e-02,2.872036099433898926e-01,-3.924603462219238281e-01,-5.755828320980072021e-02,-5.797740072011947632e-02,-4.307418465614318848e-01,7.847148180007934570e-01,-3.205876946449279785e-01,1.101682800799608231e-02,9.394506923854351044e-03,2.728369459509849548e-02,-4.177693044766783714e-04,9.115881286561489105e-03,-1.096996292471885681e-02,2.326006628572940826e-02,1.147957146167755127e-02,9.919418953359127045e-03
-7.525902986526489258e-02,-1.204397305846214294e-01,-3.167983517050743103e-02,2.726153731346130371e-01,-3.925933241844177246e-01,-6.716464459896087646e-02,-5.842351540923118591e-02,-4.596297740936279297e-01,8.059511184692382812e-01,-3.293275237083435059e-01,9.659315459430217743e-03,9.363577701151371002e-03,2.595739625394344330e-02,-3.303261764813214540e-04,8.994129486382007599e-03,-1.013589277863502502e-02,2.116058021783828735e-02,1.068486180156469345e-02,9.612508118152618408e-03
-7.744085788726806641e-02,-1.340182572603225708e-01,-1.443471200764179230e-02,2.597676217555999756e-01,-3.936384320259094238e-01,-7.551966607570648193e-02,-5.845068395137786865e-02,-4.879296422004699707e-01,8.220263123512268066e-01,-3.366088569164276123e-01,8.105699904263019562e-03,9.324108250439167023e-03,2.445507049560546875e-02,-2.539902343414723873e-04,8.846549317240715027e-03,-9.194660931825637817e-03,1.918452233076095581e-02,9.925952181220054626e-03,9.330534376204013824e-03
-7.987754791975021362e-02,-1.477289497852325439e-01,1.513981609605252743e-03,2.491824179887771606e-01,-3.958688378334045410e-01,-8.221687376499176025e-02,-5.790511518716812134e-02,-5.149575471878051758e-01,8.330584764480590820e-01,-3.421695530414581299e-01,6.411448586732149124e-03,9.273642674088478088e-03,2.275616675615310669e-02,-1.899786002468317747e-04,8.665221743285655975e-03,-8.122727274894714355e-03,1.740010082721710205e-02,9.214911609888076782e-03,9.092650376260280609e-03
-8.198073506355285645e-02,-1.615167111158370972e-01,1.633451879024505615e-02,2.410525828599929810e-01,-3.994926810264587402e-01,-8.817515522241592407e-02,-5.608356744050979614e-02,-5.407819151878356934e-01,8.400339484214782715e-01,-3.455882668495178223e-01,5.189828574657440186e-03,9.229405783116817474e-03,2.090004459023475647e-02,-1.396385923726484179e-04,8.514809422194957733e-03,-6.992815062403678894e-03,1.587041653692722321e-02,8.565456606447696686e-03,8.892827667295932770e-03
-8.341509103775024414e-02,-1.754081547260284424e-01,3.009193018078804016e-02,2.355265170335769653e-01,-4.046829938888549805e-01,-9.243028610944747925e-02,-5.358475446701049805e-02,-5.644804835319519043e-01,8.427306413650512695e-01,-3.451840877532958984e-01,4.640770610421895981e-03,9.193381294608116150e-03,1.902005821466445923e-02,-9.756541840033605695e-05,8.360578678548336029e-03,-6.014274433255195618e-03,1.465323474258184433e-02,8.040523156523704529e-03,8.732800371944904327e-03
-8.483949303627014160e-02,-1.894955933094024658e-01,4.281416535377502441e-02,2.324892580509185791e-01,-4.112967550754547119e-01,-9.329383820295333862e-02,-5.221643298864364624e-02,-5.847396254539489746e-01,8.417212963104248047e-01,-3.409896194934844971e-01,4.010221455246210098e-03,9.158954955637454987e-03,1.726752519607543945e-02,-6.961112376302480698e-05,8.269930258393287659e-03,-5.277556832879781723e-03,1.378543209284543991e-02,7.642031647264957428e-03,8.582901209592819214e-03
-8.650472760200500488e-02,-2.035948932170867920e-01,5.416755378246307373e-02,2.325774431228637695e-01,-4.196346402168273926e-01,-9.330563992261886597e-02,-5.112423747777938843e-02,-6.018235087394714355e-01,8.369069695472717285e-01,-3.340935111045837402e-01,3.204442095011472702e-03,9.112365543842315674e-03,1.555893197655677795e-02,-4.684954546974040568e-05,8.023501373827457428e-03,-4.663587547838687897e-03,1.318719517439603806e-02,7.390747312456369400e-03,8.442297577857971191e-03
